alias	category	description	keywords
4643-1.mpd	Vehicles	A yellow and red truck carrying a large boat on its flatbed, with two workers in blue uniforms standing nearby.	truck, boat, flatbed, workers, yellow
4778-1.mpd	Technic	A LEGO model of an aircraft with a red propeller and yellow wings.	LEGO, airplane, red propeller, yellow wings, aircraft
4837-1_Locomotive.mpd	Trains	A miniature train locomotive with a green and white color scheme.	locomotive, miniature, green, white, train
4837-1_Steam-Train.mpd	Vehicles	A miniature model of a steam train with a green and black color scheme.	steam train, miniature model, green, black, locomotive
4837-1_Train.mpd	Technic	A miniature model train with a green and black color scheme, featuring a solar panel on top.	miniature train, green train, black train, solar panel, model train
4838-1_Car.mpd	Technic	A miniature vehicle model with a blue and white color scheme, featuring two exhaust pipes, a roof with a small antenna, and a front bumper with a yellow light.	mini vehicle, car model, exhaust pipes, roof antenna, front bumper
4838-1_Wrecker.mpd	Technic	A LEGO model of a Mini Vehicles Wrecker with a blue body, orange wheels, and a crane-like structure.	LEGO, Mini Vehicles, Wrecker, crane, construction
4838-1.mpd	Technic	A miniature vehicle model built with LEGO pieces, featuring a carrier and a car.	LEGO, Mini Vehicles, Carrier, Car, Technic
4883-1_Advanced-Build-4WD.mpd	Technic	A red off-road vehicle with a detailed build, featuring large tires and a robust structure.	red vehicle, off-road vehicle, robust build, large tires, technic model
4883-1_Advanced-Build-Forklift.mpd	Vehicles	A red and gray LEGO vehicle with a flatbed trailer attached.	LEGO, red, gray, flatbed trailer, vehicle
4883-1_Advanced-Build-Formula-1.mpd	Technic	A red race car model built with LEGO bricks.	LEGO, race car, red, brick, model
4883-1_Advanced-Build-Truck-and-Trailer.mpd	Technic	A red fire truck with extended ladder and multiple wheels.	fire truck, red, extended ladder, multiple wheels, technic
4883-1_Experienced-Build-Car-1.mpd	Technic	A red, blocky vehicle with a simple, mechanical design.	red, blocky, mechanical, vehicle, simple
4883-1_Experienced-Build-Car-2.mpd	Vehicles	A red toy car with a simple, blocky design.	toy car, red, simple design, blocky, vehicle
4883-1_Experienced-Build-Car-with-Trailer.mpd	Technic	A red and gray Technic model with a detailed engine and wheels.	Technic, model, red, gray, engine
4883-1_Experienced-Build-Dozer.mpd	Technic	A red and gray LEGO vehicle with a flatbed trailer attached.	LEGO, vehicle, flatbed trailer, red, gray
4883-1_Experienced-Build-Tractor.mpd	Vehicles	A red and black LEGO vehicle with a trailer attached.	LEGO, vehicle, red, black, trailer
4883-1_Experienced-Build-Truck.mpd	Technic	A red and gray Technic model of a vehicle with large wheels and a flatbed.	Technic, vehicle, red, gray, large wheels
4883-1_Quick-Build-Car-1.mpd	Technic	A red car model with a boxy design and large wheels.	red car, boxy design, large wheels, lego model, technic
4883-1_Quick-Build-Car-2.mpd	Technic	A red and black model car with a detailed design, featuring a front grille, headlights, and a roof rack.	red car, black car, model car, front grille, roof rack
4883-1_Quick-Build-Car-3.mpd	Technic	A red and gray Technic model car with large wheels and a detailed front grille.	Technic model, red car, gray wheels, detailed grille, model vehicle
4883-1_Quick-Build-Car-4.mpd	Technic	A red, futuristic vehicle with large, rugged tires and a sleek, angular design.	futuristic vehicle, red vehicle, rugged tires, sleek design, technic model
4883-1_Quick-Build-Car-5.mpd	Technic	A red and gray model vehicle with a detailed engine and wheels.	model vehicle, red vehicle, gray vehicle, engine, wheels
4883-1_Quick-Build-Quad.mpd	Technic	A red and white Technic model of a vehicle with large wheels and a flatbed.	Technic, red vehicle, white vehicle, large wheels, flatbed
4883-1.mpd	City / Town	A red fire truck with extended ladder and various components.	fire truck, red, extended ladder, components, vehicle
4886-1_Advanced-Build.mpd	Everyday Life / Interior	A pixelated, isometric-style house with a red roof and white walls, surrounded by a small garden with a tree and a flower bed.	house, red roof, white walls, pixel art, isometric
4886-1_Experienced-Build.mpd	Architecture	A pixelated, isometric-style house with a red roof and white walls.	house, red roof, white walls, pixelated, isometric
4886-1_Quick-Build.mpd	City / Town	A small, pixelated house with a red roof and a chimney, surrounded by a white picket fence and a tree.	house, red roof, chimney, white fence, tree
4888-1_Experienced-Build---F.mpd	Technic	A yellow and gray model with a cylindrical body, two wheels, and a small figure on top.	yellow, gray, cylindrical, model, figure
4888-1_Experienced-Build---G.mpd	Technic	A yellow and gray model of a spaceship with red accents and various mechanical components.	spaceship, model, yellow, gray, red
4888-1_Quick-Build---A.mpd	Vehicles	A yellow submarine with a propeller and a control panel.	submarine, yellow, propeller, control panel, vehicle
4896-1_4WD.mpd	Technic	A LEGO Technic model of a vehicle with a red interior and a black exterior.	LEGO, Technic, vehicle, red interior, black exterior
4896-1_Dragstar.mpd	Technic	A detailed model of a drag racing car with a long body, red and black accents, and a powerful engine.	drag racing car, long body, red accents, black accents, powerful engine
4896-1.mpd	Vehicles	A LEGO model of a convertible car with a sleek design.	convertible car, LEGO model, sleek design, convertible, LEGO
4903-1.mpd	Technic	A LEGO model of a lion with a detailed mane and a red tail.	LEGO, lion, mane, red tail, construction
4904-1.mpd	Technic	A mechanical model featuring gears and axles, possibly representing a complex machine or device.	mechanical model, gears, axles, complex device, technic
4905-1.mpd	Animals	A LEGO model of a giraffe with a long neck and legs.	LEGO, giraffe, long neck, legs, model
4906-1.mpd	Technic	A red helicopter model with a propeller and landing gear.	helicopter, red, propeller, landing gear, model
4911-1.mpd	Technic	A model of a vehicle with a blue and gray color scheme, featuring a prominent front grille and large, rugged tires.	vehicle, model, blue, gray, rugged tires
4912-1.mpd	Vehicles	A LEGO model of a boat with a captain figure on the deck.	LEGO, boat, captain, figure, model
4914-1.mpd	Technic	A red and gray LEGO vehicle with a flatbed and two blue lights on top.	LEGO, vehicle, red, gray, flatbed
4915-1_Flat-Bed.mpd	City / Town	A yellow construction vehicle with a flatbed, resembling a mini construction model.	construction vehicle, flatbed, mini construction, yellow, toy
4915-1_Fork-Lift.mpd	Technic	A yellow construction vehicle with a transparent cabin and large wheels, featuring gears and axles.	construction vehicle, yellow, transparent cabin, gears, axles
4915-1.mpd	Technic	A yellow construction vehicle with tracks and a crane, resembling a mini excavator.	construction vehicle, mini excavator, tracks, crane, yellow
4917-1_Bird.mpd	Technic	A complex mechanical model featuring gears, axles, and a motor, possibly representing a vehicle or machinery.	mechanical model, gears, axles, motor, complex
4917-1_Pliers.mpd	Technic	A complex mechanical model featuring gears, axles, and a detailed structure.	mechanical model, gears, axles, complex structure, mechanical functions
4917-1.mpd	Technic	A detailed model of a space shuttle with a blue and white color scheme.	space shuttle, model, blue, white, space
4918-1_Bi-Plane.mpd	Technic	A miniature model of a biplane with a red tail fin and a gray body.	biplane, miniature, red tail fin, gray body, model
4918-1_Jet.mpd	Technic	A miniature model of a jet aircraft, featuring a sleek design with red and white colors.	jet, miniature, aircraft, model, technic
4918-1.mpd	Technic	A miniature helicopter model with a red and gray color scheme.	helicopter, miniature, red, gray, model
4937-1.mpd	Technic	A LEGO model of a person operating a crane-like device.	crane, person, operating, LEGO, model
4939-1_Formula-1.mpd	Technic	A yellow race car model made of LEGO pieces.	LEGO, race car, yellow, model, LEGO race car
4939-1_Truck.mpd	Technic	A yellow and gray construction vehicle with a crane and a flatbed trailer.	construction vehicle, crane, flatbed trailer, yellow, gray
4939-1.mpd	Technic	A yellow LEGO vehicle with a flatbed and a roof, featuring various mechanical components.	LEGO, vehicle, yellow, flatbed, mechanical
4947-1.mpd	Technic	A model car with a sleek design, featuring a yellow and black color scheme.	model car, sleek design, yellow and black, technic, car model
4948-1.mpd	Technic	A red and black Technic model car with a sleek design and detailed components.	Technic, car, red, black, sleek
4949-1.mpd	Technic	A model car with a sleek design, featuring a blue body and yellow accents.	model car, sleek design, blue body, yellow accents, technic model
4953-1_Helicopter.mpd	Technic	A detailed model of a futuristic ship with a sleek design, featuring red and blue colors.	futuristic ship, red and blue, model, futuristic, ship
4953-1_Overcraft.mpd	Technic	A detailed model of a spaceship with a futuristic design, featuring blue and red accents.	spaceship, futuristic, model, technic, craft
4953-1.mpd	Technic	A model airplane with a red and white color scheme, featuring a detailed and realistic design.	airplane, model, red, white, realistic
4954-1_House-with-Truck.mpd	City / Town	A small, detailed model of a two-story building with a red door and a small truck parked in front.	building, red door, truck, model, two-story
4954-1_School.mpd	City / Town	A pixel art-style town with a small house, a car, and a bicycle.	pixel art, town, house, car, bicycle
4954-1.mpd	City / Town	A small, two-story house with a garage and a car parked in front.	house, garage, car, brick, building
4955-1_Car.mpd	Vehicles	A red and white sports car model made of LEGO bricks.	LEGO, sports car, red, white, brick
4955-1_Cart.mpd	Technic	A detailed model of a race car with a red chassis, black tires, and various mechanical components.	race car, red chassis, black tires, mechanical components, model
4955-1.mpd	Technic	A detailed model of a fire truck made from LEGO bricks, featuring a red cab and a grey chassis.	fire truck, LEGO, model, red cab, grey chassis
4956-1_House-with-Arch.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a house with a red roof, white walls, and a small garden with flowers and a statue.	dollhouse, house, red roof, white walls, garden
4956-1_Small-Houses.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a small house with a red roof and white walls, surrounded by green grass and a small tree.	dollhouse, house, red roof, white walls, green grass
4956-1.mpd	Architecture	A detailed dollhouse-style build of a house with a red roof and white walls.	house, red roof, white walls, dollhouse, architecture
4991-1.mpd	Technic	A LEGO model of a helicopter with a pilot figure next to it.	helicopter, LEGO, pilot, model, technic
4993-1_Front-Loader.mpd	Technic	A detailed model of a construction vehicle with a front loader and a crane.	construction vehicle, front loader, crane, model, construction equipment
4993-1_Truck.mpd	Technic	A detailed model of a vehicle with a modern design, featuring a cab, cargo area, and various mechanical components.	vehicle, modern design, cargo area, mechanical components, model
4993-1.mpd	Technic	A white sports car with red accents and a transparent roof, showcasing its mechanical components.	sports car, transparent roof, mechanical components, white, red
4996-1_Apartment-Building.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a yellow and gray building with a green base, featuring a balcony, windows, and a small garden with flowers.	dollhouse, building, yellow, gray, balcony
4996-1_Cozy-Cafe.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a yellow and white house with a green lawn and various accessories.	dollhouse, house, yellow, white, green lawn
51515-1_Blast.mpd	Technic	A complex mechanical model with a central structure, wheels, and various mechanical components.	mechanical model, complex structure, wheels, mechanical components, robotic
544-1_Airplane.mpd	Technic	A red model airplane with a single propeller and landing gear.	airplane, red, single propeller, landing gear, model
544-1_Car.mpd	Vehicles	A red LEGO vehicle with a flatbed and a small cabin.	red, LEGO, flatbed, cabin, vehicle
544-1_Cow.mpd	City / Town	A red brick structure with a yellow door and a white roof, resembling a small building or gate.	red brick, yellow door, white roof, building, structure
544-1_House.mpd	City / Town	A small, colorful house with a red roof and a blue chimney.	house, red roof, blue chimney, colorful, small
544-1_Ship.mpd	Vehicles	A LEGO model of a cargo ship with a tall mast and colorful blocks.	cargo ship, LEGO, colorful, mast, blocks
544-1_Truck.mpd	Vehicles	A small, red and blue vehicle with a window and wheels.	red vehicle, blue vehicle, window, wheels, construction vehicle
5510-1_Tow-Truck.mpd	Technic	A yellow and white construction vehicle with a crane attachment.	construction vehicle, crane attachment, yellow, white, lego
5510-1.mpd	Technic	A yellow and black off-road vehicle with a red engine block and various mechanical components.	yellow vehicle, black off-road, red engine block, mechanical components, technic model
5521-1.mpd	Vehicles	A model of a large ship or aircraft carrier with a red and white color scheme.	ship, carrier, red, white, aircraft
5533-1_Tractor-Pulling.mpd	Technic	A red and gray Technic model featuring a chassis, wheels, and a yellow bell.	Technic, model, red, gray, bell
5533-1.mpd	Technic	A detailed model of a race car with a sleek design and realistic mechanical components.	race car, sleek design, realistic, mechanical components, model
5540-1_Plane.mpd	Technic	A model airplane with a red and white color scheme, featuring a sleek design and detailed wings.	airplane, red, white, model, sleek
5540-1.mpd	Technic	A red and white race car model with a detailed and realistic design.	race car, red, white, model, realistic
5542-1.mpd	Technic	A detailed model of a helicopter with a yellow and black color scheme.	helicopter, yellow, black, model, technic
555-2_Car.mpd	City / Town	A red fire truck with an extended ladder, a firefighter, and a tree in the background.	fire truck, firefighter, red, extended ladder, tree
555-2_Elephant.mpd	Technic	A LEGO model of a construction worker wearing a red hat and a white shirt, standing on a blue platform with a yellow base.	LEGO, construction worker, red hat, white shirt, blue platform
555-2_Farm-Tractor.mpd	Vehicles	A toy vehicle built with LEGO bricks, featuring a red and yellow color scheme.	LEGO, toy vehicle, red, yellow, construction
555-2_Helicopter.mpd	Vehicles	A red helicopter made of LEGO blocks.	helicopter, LEGO, red, aircraft, construction
555-2_Windmill.mpd	City / Town	A LEGO windmill with a red roof and a yellow base, featuring a small window and a door.	LEGO, windmill, red roof, yellow base, small window
5571-1.mpd	Technic	A detailed model of a truck with realistic mechanical functions.	truck, model, realistic, mechan, construction
560-1.mpd	City / Town	A small, colorful house with a red roof and blue walls, featuring a chimney and a small garden with a yellow flower and a green tree.	house, red roof, blue walls, chimney, garden
5610-1.mpd	City / Town	A construction worker in a hard hat and overalls next to a concrete mixer and some nuts.	construction worker, hard hat, concrete mixer, nuts, construction site
561412-1.mpd	City / Town	A miniature Christmas tree made of LEGO bricks, with a pink base and a small figure standing next to it.	Christmas tree, LEGO, miniature, pink base, figure
566-1_Elephant.mpd	Technic	A blue Technic model with a white arm extending from it.	Technic, model, blue, white, arm
566-1_Seaplane.mpd	Technic	A simple model of a vehicle with a blue and red color scheme.	vehicle, model, blue, red, simple
5761-1.mpd	Technic	A LEGO model of a construction vehicle with a yellow and gray color scheme.	construction vehicle, LEGO, yellow, gray, model
5762-1_Plane.mpd	Technic	A miniature model of a plane with a simple design, featuring a propeller and a tail fin.	plane, miniature, model, propeller, tail fin
5762-1_Speedboat.mpd	Vehicles	A LEGO model of a speedboat, featuring a sleek design and a small cabin.	LEGO, speedboat, mini, model, craft
5762-1_Twin-Tail-Prop.mpd	Technic	A miniature model of a twin-tail propeller aircraft.	mini plane, twin tail prop, aircraft model, lego, miniature
5763-1.mpd	Technic	A red and gray model vehicle with large wheels and a flatbed, resembling a construction or utility vehicle.	construction vehicle, utility vehicle, red vehicle, gray vehicle, model vehicle
5764-1.mpd	Robots / Mecha	A red and gray robot with a mechanical design, standing upright.	robot, mecha, red, gray, mechanaut
5765-1.mpd	Technic	A blue and yellow Technic model truck with a flatbed trailer, featuring various mechanical components and parts.	Technic, truck, flatbed trailer, mechanical, model
5766-1_Bridge-House.mpd	Castle	A LEGO castle with a red roof, a moat, and a small tree in the background.	castle, red roof, moat, tree, LEGO
5766-1_Twin-House.mpd	Everyday Life / Interior	A small, colorful dollhouse-style house with a red roof and a yellow door, featuring a garden with flowers and a character in a red hat and blue outfit standing outside.	dollhouse, house, red roof, yellow door, character
5766-1.mpd	Everyday Life / Interior	A small, quaint house with a red roof and a tree in front, featuring a yellow banana and a small dog.	house, red roof, banana, dog, tree
5767-1.mpd	Technic	A yellow sports car model with an open hood, showcasing its engine and other mechanical components.	yellow car, open hood, engine, mechanical model, sports car
5770-1.mpd	City / Town	A LEGO model of a lighthouse with a small house attached, featuring a boat and a seagull nearby.	LEGO, lighthouse, boat, seagull, house
5771-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a two-story house with a red roof, solar panels, and a small garden with a tree and a statue.	house, dolls, garden, solar panels, statue
5864-1_Boat.mpd	Technic	A detailed model of a vehicle with a blue and white color scheme, featuring various components and parts.	vehicle, model, blue, white, components
5864-1_Helicopter.mpd	Technic	A LEGO helicopter model with a blue and white color scheme, featuring a main rotor and tail rotor.	LEGO, helicopter, main rotor, tail rotor, color scheme
5864-1_Plane.mpd	Technic	A LEGO model of a helicopter with a blue and white color scheme.	helicopter, LEGO, blue, white, construction
5865-1_4x4.mpd	Technic	A green and white Technic model with a flatbed and a small cabin, featuring a simple and functional design.	Technic, flatbed, cabin, simple, functional
5865-1_F1.mpd	Technic	A green and white Technic model with a crane and a flatbed trailer.	Technic, crane, flatbed trailer, green, white
5865-1.mpd	Technic	A green and yellow LEGO Technic model of a construction vehicle with a flatbed and wheels.	LEGO, Technic, construction vehicle, flatbed, wheels
5866-1_Plane.mpd	Technic	A model airplane made of LEGO pieces.	LEGO, airplane, model, construction, toy
5866-1_Speed-Boat.mpd	Technic	A red and yellow model spaceship with a detailed cockpit and various mechanical components.	spaceship, model, red, yellow, mechanical
5866-1.mpd	Technic	A red and yellow helicopter model with a detailed design.	helicopter, red, yellow, model, detailed
5867-1.mpd	Technic	A red sports car model built with LEGO pieces.	LEGO, sports car, red, LEGO model, car model
5891-1_Holiday-House.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a small house with a garden and various accessories.	dollhouse, house, garden, accessories, miniature
5891-1_Small-House.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a two-story house with a garden and various elements.	dollhouse, house, garden, elements, details
5891-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a small house with a red door, a tree, a mailbox, and a mailbox box.	dollhouse, house, red door, tree, mailbox
5892-1.mpd	Technic	A model of a red and white jet aircraft.	jet, aircraft, red, white, model
5893-1_Buggy.mpd	Technic	A model of a race car with a driver figure, featuring a blue body, red and white roof, and large tires.	race car, driver figure, blue body, red roof, large tires
5893-1_Truck.mpd	Technic	A detailed model of a construction vehicle with a crane attachment.	construction vehicle, crane attachment, model, technic, building
5893-1.mpd	Technic	A blue and white truck carrying a red and black ATV on its flatbed.	truck, ATV, flatbed, red, black
5920-1.mpd	Technic	A red and gray LEGO vehicle with a character in a helmet and goggles, resembling a race car.	LEGO, Island Racer, red vehicle, gray engine, character in helmet
5934-1.mpd	City / Town	A miniature city scene with a police car, a fire truck, a lighthouse, and a police officer.	police car, fire truck, lighthouse, police officer, miniature city
5935-1.mpd	Technic	A model of an aircraft with a red and white striped pattern, featuring a propeller and a small bird flying above it.	aircraft, model, red, white, striped
5969-1.mpd	Technic	A detailed model of a futuristic vehicle with a sleek, angular design.	futuristic, vehicle, model, design, technic
5970-1.mpd	Technic	A model of a futuristic vehicle with a sleek, angular design, featuring a combination of mechanical and electronic components.	futuristic vehicle, mechanic components, electronic elements, sleek design, mechanic model
5971-1.mpd	Technic	A detailed model of a vehicle with various mechanical components and a small figure standing nearby.	vehicle, mechan, mechan model, mechan vehicle, mechan model vehicle
5972-1.mpd	Technic	A yellow container with a crane and a robot arm attached to it.	yellow container, crane, robot arm, technic model, construction site
5973-1.mpd	Technic	A model of a helicopter and a vehicle with a futuristic design.	helicopter, futuristic, vehicle, model, technic
5974-1.mpd	Technic	A complex model of an aircraft with various parts and components.	aircraft, model, complex, components, parts
5979-1.mpd	Technic	A detailed model of a race car with a sleek design, featuring a blue and white color scheme.	race car, sleek design, blue and white, model, technic
5980-1.mpd	Technic	A collection of toy vehicles and a space station model.	toy vehicles, space station, model, collection, technic
5981-1.mpd	Technic	A detailed model of a spaceship with a futuristic design, featuring various components and engines.	spaceship, futuristic, model, components, engines
5982-1.mpd	Technic	A blue and yellow construction vehicle with a crane and a flatbed trailer.	construction vehicle, crane, flatbed trailer, blue, yellow
5983-1.mpd	Technic	A collection of detailed mechanical models featuring gears, axles, and motors.	mechanical, models, gears, axles, motors
5984-1.mpd	Technic	A detailed model of a futuristic spaceship with various weapons and engines.	spaceship, futuristic, weaponry, engines, model
5985-1.mpd	Technic	A detailed model of a space station or spaceport with various vehicles and equipment.	space station, spaceport, vehicles, equipment, model
600-1.mpd	Vehicles	A LEGO model of an ambulance with a red cross on the side.	ambulance, LEGO, medical vehicle, emergency vehicle, red cross
60001-1.mpd	City / Town	A LEGO fire truck, a firefighter, and a tree in a city setting.	fire truck, firefighter, tree, city, LEGO
60017-1.mpd	Vehicles	A tow truck carrying a red sports car.	tow truck, sports car, red, towing, vehicle
60018-1.mpd	City / Town	A yellow construction truck with a red wheelbarrow and two workers in the scene.	construction truck, red wheelbarrow, workers, yellow, truck
60054-1.mpd	City / Town	A LEGO construction vehicle next to a traffic light post.	LEGO, construction vehicle, traffic light, city, LEGO vehicle
60059-1.mpd	Vehicles	A logging truck with a crane and logs, surrounded by workers and Christmas trees.	logging truck, crane, logs, workers, Christmas trees
60065-1.mpd	Vehicles	A LEGO ATV Patrol vehicle with two LEGO figures standing nearby, one holding a gift.	ATV Patrol, LEGO, vehicle, figures, gift
60066-1.mpd	City / Town	A LEGO model of a police station with a police officer, a police car, and a police dog.	LEGO, police station, police officer, police car, police dog
60067-1.mpd	Vehicles	A model set featuring a helicopter, a speedboat, and a small boat, with figures standing nearby.	helicopter, speedboat, boat, figures, model set
60083-1.mpd	Technic	A green and yellow snowplough truck with a worker figure next to it.	snowplough truck, worker figure, green truck, yellow truck, construction vehicle
601-1.mpd	City / Town	A LEGO figure dressed as a police officer standing next to a traffic light.	LEGO, police officer, traffic light, city, urban
601-2.mpd	Technic	A red tow truck model with a crane and wheels, built using LEGO bricks.	red tow truck, crane, LEGO, construction vehicle, toy
6010-1.mpd	City / Town	A LEGO supply wagon with a horse and a medieval-style figure driving it.	LEGO, supply wagon, horse, medieval, figure
60101-1.mpd	Technic	A model of a small aircraft with a green and white color scheme, featuring a propeller and landing gear.	aircraft, propeller, landing gear, green, white
6011-1.mpd	Technic	A LEGO model of a medieval knight's chariot with a horse, a shield, and a spear.	LEGO, medieval, knight, chariot, horse
6021-1.mpd	Castle	A medieval knight on horseback, holding a flag and shield.	knight, horseback, flag, shield, medieval
60216-1.mpd	City / Town	A collection of miniature fire truck, crane, helicopter, and other emergency vehicles.	fire truck, crane, helicopter, emergency vehicles, miniature
6022-1.mpd	Vehicles	A medieval-style horse-drawn cart with a flag, a knight figure, and a horse.	horse-drawn cart, medieval, flag, knight, cart
603-1.mpd	Technic	A LEGO model of a construction vehicle with a worker figure beside it.	LEGO, construction vehicle, worker, model, technic
6030-1.mpd	Technic	A LEGO model of a medieval catapult with a flag, a soldier, and a stack of coins.	medieval catapult, LEGO, catapult, flag, soldier
6034-1.mpd	Castle	A LEGO knight on horseback in front of a castle gate, with a flag on the horse and a flag on the castle.	LEGO, knight, castle, horse, flag
6035-1.mpd	Castle	A medieval knight on horseback next to a castle tower with flags.	knight, horse, castle, tower, flags
604-1.mpd	City / Town	A LEGO figure in a red cap and white shirt with a Shell logo, standing next to a yellow and white LEGO vehicle with a Shell logo.	LEGO, Shell, vehicle, figure, cap
604-2.mpd	Technic	A miniature LEGO excavator with a red and blue color scheme.	LEGO, excavator, construction, miniature, LEGO vehicle
6040-1.mpd	Castle	A medieval castle with a knight standing on top, holding a sword, and a horse nearby.	castle, knight, sword, horse, medieval
6041-1.mpd	Castle	A medieval castle with a knight, a dragon, and a flag.	castle, knights, dragon, flag, medieval
6043-1.mpd	Vehicles	A LEGO model of a dragon-defending vehicle with a dragon head on top.	LEGO, Dragon Defender, Vehicles, Dragon, Defender
6049-1.mpd	Vehicles	A medieval-style warship with soldiers holding shields and spears.	warship, medieval, warriors, soldiers, shield
605-1.mpd	City / Town	A construction worker with a blue hat and striped shirt, standing next to a yellow construction vehicle with a tree on top.	construction worker, yellow vehicle, tree, blue hat, striped shirt
6054-1.mpd	Technic	A LEGO model featuring a small building with a flag, surrounded by trees and a flagpole.	LEGO, building, flag, trees, flagpole
6056-1.mpd	Vehicles	A red wagon with a dragon on top, a knight in armor, and a horse.	dragon wagon, knight, horse, red wagon, dragon
6059-1.mpd	Castle	A medieval castle with knights and a gate, featuring a flag on top.	castle, knights, gate, flag, medieval
606-1.mpd	City / Town	A LEGO figure dressed in a white shirt and red pants standing next to a small LEGO ambulance.	LEGO, ambulance, figure, city, vehicle
6061-1.mpd	Castle	A medieval castle with a drawbridge and a catapult, featuring knights and a dragon.	castle, drawbridge, catapult, knights, dragon
6062-1.mpd	Castle	A medieval castle with knights and a chariot, featuring flags and shields.	castle, knights, chariot, flags, medieval
6066-1.mpd	Fantasy / Mythical	A medieval castle scene with archers, a flag, and a tree.	castle, archers, flag, medieval, scene
6067-1.mpd	Castle	A medieval castle with a flag on top, surrounded by knights and a gnomish figure.	castle, medieval, knights, gnomish, flag
6071-1.mpd	Castle	A medieval castle with a knight on a horse and a flag on top.	castle, medieval, knight, horse, flag
6073-1.mpd	Castle	A medieval castle with knights and flags, featuring a gray tower and red walls.	castle, knights, flags, medieval, fortress
6074-1.mpd	Castle	A medieval castle with knights and a flag on top.	castle, knights, flag, medieval, fortress
6080-1.mpd	Castle	A medieval castle with towers, flags, and a moat, surrounded by a group of figures in medieval attire.	castle, medieval, towers, figures, moat
6085-1.mpd	Castle	A medieval castle with towers, flags, and knights in armor.	castle, medieval, knights, flags, fortress
610-1.mpd	Vehicles	A vintage car model made of LEGO bricks.	vintage car, LEGO, model, brick, vintage
6102-1.mpd	Castle	A group of knights in armor, each holding different weapons and shields, ready for battle.	knights, castle, battle, armor, weapons
612-1.mpd	Vehicles	A red and blue toy truck with a tipper bed, built from LEGO bricks.	LEGO, truck, tipper, construction, toy
613-1.mpd	Technic	A model of a biplane made of LEGO bricks.	LEGO, biplane, airplane, model, construction
620-1.mpd	City / Town	A LEGO firefighter character standing next to a red fire truck with a blue flame on top.	firefighter, fire truck, LEGO, red, blue flame
6208-1.mpd	Technic	A model of a B-Wing Fighter from the Star Wars universe.	B-Wing Fighter, Star Wars, fighter, model, technic
621-1.mpd	City / Town	A LEGO police vehicle with a police officer inside, driving on a road.	LEGO, police vehicle, police officer, road, LEGO police
622-1.mpd	Vehicles	A LEGO construction vehicle with a yellow body and gray wheels, next to a pedestrian crossing sign.	LEGO, construction vehicle, yellow, gray, pedestrian crossing
623-1.mpd	City / Town	A LEGO model of a fire truck with a red and white color scheme, featuring a ladder, a water tank, and a helmet.	fire truck, LEGO, red, white, ladder
6232-1.mpd	Pirates	A LEGO pirate figure holding a sword and a treasure chest, with a palm tree in the background.	pirate, sword, treasure chest, palm tree, LEGO
6235-1.mpd	Pirates	A LEGO pirate figure standing on a small island with a shovel, a shovel, a pirate flag, and a small tree.	LEGO, pirate, island, shovel, flag
6245-1.mpd	Pirates	A LEGO pirate ship with a flag, cannon, and treasure chest.	pirate ship, cannon, flag, treasure chest, LEGO
625-1.mpd	City / Town	A LEGO construction vehicle with a yellow body, a red driver, and a yellow bucket.	LEGO, construction vehicle, yellow, red, driver
6279-1.mpd	Pirates	A LEGO pirate island with a flag, treasure chest, cannon, and figures.	pirate island, LEGO, cannon, treasure chest, figures
6285-1.mpd	Pirates	A LEGO pirate ship with multiple masts, cannons, and a pirate flag.	pirate ship, LEGO, cannons, pirate flag, multiple masts
6286-1.mpd	Pirates	A detailed model of a pirate ship with multiple masts, cannons, and various pirate-themed decorations.	pirate ship, cannons, masts, pirate decorations, sea adventure
6325-1.mpd	City / Town	A LEGO model of a yellow car with a red roof, a LEGO figure in a green uniform, and a white building with a sign.	LEGO, car, yellow, red roof, green uniform
6331-1.mpd	Technic	A LEGO model of an airplane with a Santa Claus figure on the wing.	LEGO, airplane, Santa Claus, model, Santa
6334-1.mpd	City / Town	A LEGO set depicting a coastal police station with a boat, a truck, and a palm tree.	coastal police station, LEGO, boat, truck, palm tree
6339-1.mpd	Technic	A detailed model of a rocket launch pad with a rocket on the launch pad, surrounded by various mechanical components and structures.	rocket, launch pad, mechanical components, rocket model, space exploration
6344-1.mpd	Vehicles	A police boat with a sleek design, featuring a police logo and various equipment on top.	police boat, sleek design, police logo, equipment, vessel
6346-1.mpd	Technic	A model of a fire truck with a crane attachment, featuring a blue and white color scheme.	fire truck, crane attachment, blue and white, model, technic
6348-1.mpd	City / Town	A police mobile command vehicle with satellite dishes and antennas.	police, mobile command vehicle, satellite dishes, antennas, command vehicle
6349-1.mpd	City / Town	A small, colorful house with a red roof and a car parked outside.	house, red roof, car, outdoor, neighborhood
6350-1.mpd	City / Town	A LEGO model of a small food truck with a chef character and a customer character interacting.	LEGO, food truck, chef, customer, interaction
6351-1.mpd	City / Town	A LEGO fire truck with an extended ladder, a firefighter, and a tree.	fire truck, firefighter, extended ladder, tree, LEGO
